Date,Nitrogen(MOL. %),Nitrogen(WT. %),Methane(MOL. %),Methane(WT. %),Carbon Dioxide(MOL. %),Carbon Dioxide(WT. %),Ethane(MOL. %),Ethane(WT. %),Ethane(GMP. %),Propane(MOL. %),Propane(WT. %),Propane(GMP. %),Iso-butane(MOL. %),Iso-butane(WT. %),Iso-butane(GMP. %),n-Butane(MOL. %),n-Butane(WT. %),n-Butane(GMP. %),Iso-pentane(MOL. %),Iso-pentane(WT. %),Iso-pentane(GMP. %),n-Pentane(MOL. %),n-Pentane(WT. %),n-Pentane(GMP. %),Hexanes Plus(MOL. %),Hexanes Plus(WT. %),Hexanes Plus(GMP. %),GPM TOTAL C2+,GPM TOTAL C3+,GPM TOTAL iC5+,Relative Density Real Gas,Calculated Molecular Weight,Compressibility Factor,Real Gas Dry BTU,Water Sat. Gas Base BTU
12/30/2019,0.299,0.508,96.897,94.35,0.005,0.013,2.786,5.085,0.745,0.003,0.008,0.001,0.003,0.011,0.001,0.007,0.025,0.002,0,0,0,0,0,0,0,0,0,0.749,0.004,0,0.5698,16.48,0.9979,1031,1013
1/13/2020,0.335,0.568,96.494,93.625,0.011,0.029,3.139,5.709,0.839,0.006,0.016,0.002,0.007,0.025,0.002,0.008,0.028,0.003,0,0,0,0,0,0,0,0,0,0.846,0.007,0,0.5719,16.53,0.9979,1033,1015
1/27/2020,0.298,0.506,96.681,93.951,0.01,0.027,2.99,5.446,0.799,0.005,0.013,0.001,0.007,0.025,0.002,0.009,0.032,0.003,0,0,0,0,0,0,0,0,0,0.805,0.006,0,0.571,16.51,0.9979,1032,1015
2/7/2020,0.34,0.576,96.52,93.674,0.009,0.024,3.112,5.661,0.832,0.003,0.008,0.001,0.007,0.025,0.002,0.008,0.028,0.003,0.001,0.004,0,0,0,0,0,0,0,0.838,0.006,0,0.5717,16.53,0.9979,1033,1015
2/24/2020,0.399,0.678,96.783,94.155,0.011,0.029,2.794,5.095,0.747,0.003,0.008,0.001,0.004,0.014,0.001,0.006,0.021,0.002,0,0,0,0,0,0,0,0,0,0.751,0.004,0,0.5703,16.49,0.9979,1030,1012
3/11/2020,0.298,0.506,96.661,93.917,0.004,0.011,3.013,5.487,0.805,0.006,0.016,0.002,0.008,0.028,0.003,0.01,0.035,0.003,0,0,0,0,0,0,0,0,0,0.813,0.008,0,0.5711,16.51,0.9979,1033,1015
3/24/2020,0.359,0.61,96.746,94.088,0.007,0.019,2.876,5.243,0.769,0.003,0.008,0.001,0.004,0.014,0.001,0.005,0.018,0.002,0,0,0,0,0,0,0,0,0,0.773,0.004,0,0.5705,16.5,0.9979,1031,1013
4/9/2020,0.299,0.507,96.679,93.947,0.008,0.021,2.99,5.446,0.799,0.007,0.019,0.002,0.008,0.028,0.003,0.009,0.032,0.003,0,0,0,0,0,0,0,0,0,0.807,0.008,0,0.571,16.51,0.9979,1032,1015
5/12/2020,0.349,0.592,96.641,93.9,0.006,0.016,2.989,5.444,0.799,0.006,0.016,0.002,0.004,0.014,0.001,0.005,0.018,0.002,0,0,0,0,0,0,0,0,0,0.804,0.005,0,0.5711,16.51,0.9979,1032,1014
5/27/2020,0.308,0.522,96.588,93.802,0.006,0.016,3.083,5.612,0.824,0.006,0.016,0.002,0.005,0.018,0.002,0.004,0.014,0.001,0,0,0,0,0,0,0,0,0,0.829,0.005,0,0.5713,16.52,0.9979,1033,1015
6/7/2020,0.278,0.473,96.913,94.385,0.002,0.005,2.797,5.106,0.748,0.005,0.013,0.001,0.003,0.011,0.001,0.002,0.007,0.001,0,0,0,0,0,0,0,0,0,0.751,0.003,0,0.5697,16.47,0.9979,1031,1013
7/29/2020,0.269,0.457,96.874,94.313,0.004,0.011,2.844,5.19,0.76,0.004,0.011,0.001,0.003,0.011,0.001,0.002,0.007,0.001,0,0,0,0,0,0,0,0,0,0.763,0.003,0,0.5699,16.48,0.9979,1031,1014
