Date,Nitrogen(MOL. %),Nitrogen(WT. %),Methane(MOL. %),Methane(WT. %),Carbon Dioxide(MOL. %),Carbon Dioxide(WT. %),Ethane(MOL. %),Ethane(WT. %),Ethane(GMP. %),Propane(MOL. %),Propane(WT. %),Propane(GMP. %),Iso-butane(MOL. %),Iso-butane(WT. %),Iso-butane(GMP. %),n-Butane(MOL. %),n-Butane(WT. %),n-Butane(GMP. %),Iso-pentane(MOL. %),Iso-pentane(WT. %),Iso-pentane(GMP. %),n-Pentane(MOL. %),n-Pentane(WT. %),n-Pentane(GMP. %),Hexanes Plus(MOL. %),Hexanes Plus(WT. %),Hexanes Plus(GMP. %),GPM TOTAL C2+,GPM TOTAL C3+,GPM TOTAL iC5+,Relative Density Real Gas,Calculated Molecular Weight,Compressibility Factor,Real Gas Dry BTU,Water Sat. Gas Base BTU
5/11/2018,0.26,0.441,96.791,94.086,0.004,0.011,2.837,5.169,0.758,0.103,0.275,0.028,0.003,0.011,0.001,0.002,0.007,0.001,0,0,0,0,0,0,0,0,0,0.788,0.03,0,0.5708,16.5,0.9979,1033,1015
9/26/2018,0.349,0.591,96.487,93.547,0.005,0.013,3.04,5.524,0.813,0.111,0.296,0.031,0.003,0.011,0.001,0.005,0.018,0.002,0,0,0,0,0,0,0,0,0,0.847,0.034,0,0.5723,16.55,0.9979,1034,1016
11/26/2018,0.343,0.581,96.636,93.813,0.002,0.005,2.902,5.28,0.776,0.107,0.286,0.029,0.004,0.014,0.001,0.006,0.021,0.002,,,,,,,,,,0.808,0.032,0,0.5716,16.53,0.9979,1033,1015
1/17/2019,0.299,0.506,96.391,93.377,0.007,0.019,3.194,5.799,0.854,0.099,0.264,0.027,0.002,0.007,0.001,0.008,0.028,0.003,0,0,0,0,0,0,0,0,0,0.885,0.031,0,0.5728,16.56,0.9979,1035,1017
3/29/2019,0.16,0.27,96.063,92.724,0.011,0.029,3.607,6.526,0.964,0.124,0.329,0.034,0.012,0.042,0.004,0.023,0.08,0.007,,,,,,,,,,1.009,0.045,0,0.5749,16.62,0.9979,1041,1023
4/12/2019,0.334,0.564,96.285,93.149,0.003,0.008,3.232,5.86,0.864,0.111,0.295,0.031,0.012,0.042,0.004,0.021,0.074,0.007,0.001,0.004,0,0.001,0.004,0,,,,0.906,0.042,0,0.5736,16.58,0.9979,1036,1018
4/29/2019,0.333,0.563,96.354,93.298,0.004,0.011,3.184,5.779,0.851,0.106,0.282,0.029,0.004,0.014,0.001,0.015,0.053,0.005,,,,,,,,,,0.886,0.035,0,0.573,16.57,0.9979,1035,1017
5/16/2019,0.319,0.54,96.502,93.587,0.002,0.005,3.079,5.597,0.823,0.087,0.232,0.024,0.002,0.007,0.001,0.009,0.032,0.003,0,0,0,0,0,0,0,0,0,0.851,0.028,0,0.5721,16.54,0.9979,1034,1016
6/7/2019,0.298,0.505,96.616,93.786,0,0,2.987,5.435,0.798,0.088,0.235,0.024,0.001,0.004,0,0.01,0.035,0.003,0,0,0,0,0,0,0,0,0,0.825,0.027,0,0.5716,16.53,0.9979,1033,1016
6/24/2019,0.299,0.507,96.603,93.759,0.005,0.013,2.988,5.436,0.799,0.1,0.267,0.028,0,0,0,0.005,0.018,0.002,0,0,0,0,0,0,0,0,0,0.829,0.03,0,0.5717,16.53,0.9979,1033,1016
7/17/2019,0.32,0.542,96.573,93.71,0.002,0.005,2.999,5.454,0.802,0.099,0.264,0.027,0.001,0.004,0,0.006,0.021,0.002,0,0,0,0,0,0,0,0,0,0.831,0.029,0,0.5718,16.53,0.9979,1033,1016
8/1/2019,0.261,0.442,96.572,93.679,0.002,0.005,3.042,5.531,0.813,0.106,0.283,0.029,0.003,0.011,0.001,0.014,0.049,0.004,0,0,0,0,0,0,0,0,0,0.847,0.034,0,0.572,16.54,0.9979,1035,1017
8/16/2019,0.303,0.514,96.661,93.92,0.006,0.016,3.008,5.478,0.804,0.006,0.016,0.002,0.016,0.056,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0.007,0,0.5711,16.51,0.9979,1032,1015
9/10/2019,0.292,0.495,96.664,93.921,0.005,0.013,3.016,5.493,0.806,0.004,0.011,0.001,0.007,0.025,0.002,0.012,0.042,0.004,0,0,0,0,0,0,0,0,0,0.813,0.007,0,0.5711,16.51,0.9979,1033,1015
9/27/2019,0.286,0.485,96.671,93.919,0.003,0.008,3.005,5.472,0.803,0.008,0.021,0.002,0.009,0.032,0.003,0.018,0.063,0.006,0,0,0,0,0,0,0,0,0,0.814,0.011,0,0.5711,16.51,0.9979,1033,1015
10/8/2019,0.301,0.51,96.521,93.665,0.006,0.016,3.146,5.722,0.841,0.005,0.013,0.001,0.006,0.021,0.002,0.015,0.053,0.005,0,0,0,0,0,0,0,0,0,0.849,0.008,0,0.5718,16.53,0.9979,1034,1016
11/18/2019,0.31,0.526,96.646,93.887,0.004,0.011,3.013,5.486,0.805,0.006,0.016,0.002,0.006,0.021,0.002,0.015,0.053,0.005,0,0,0,0,0,0,0,0,0,0.814,0.009,0,0.5712,16.51,0.9979,1032,1015
12/16/2019,0.321,0.545,96.661,93.922,0.008,0.021,2.99,5.445,0.799,0.004,0.011,0.001,0.006,0.021,0.002,0.01,0.035,0.003,0,0,0,0,0,0,0,0,0,0.805,0.006,0,0.571,16.51,0.9979,1032,1014
