Date,Nitrogen(MOL. %),Nitrogen(WT. %),Methane(MOL. %),Methane(WT. %),Carbon Dioxide(MOL. %),Carbon Dioxide(WT. %),Ethane(MOL. %),Ethane(WT. %),Ethane(GMP. %),Propane(MOL. %),Propane(WT. %),Propane(GMP. %),Iso-butane(MOL. %),Iso-butane(WT. %),Iso-butane(GMP. %),n-Butane(MOL. %),n-Butane(WT. %),n-Butane(GMP. %),Iso-pentane(MOL. %),Iso-pentane(WT. %),Iso-pentane(GMP. %),n-Pentane(MOL. %),n-Pentane(WT. %),n-Pentane(GMP. %),Hexanes Plus(MOL. %),Hexanes Plus(WT. %),Hexanes Plus(GMP. %),GPM TOTAL C2+,GPM TOTAL C3+,GPM TOTAL iC5+,Relative Density Real Gas,Calculated Molecular Weight,Compressibility Factor,Real Gas Dry BTU,Water Sat. Gas Base BTU
12/30/2019,0.09,0.138,90.055,79.281,0.948,2.29,5.916,9.762,1.582,2.137,5.171,0.589,0.096,0.306,0.031,0.337,1.075,0.106,0.082,0.325,0.03,0.071,0.281,0.026,0.268,1.371,0.117,2.481,0.899,0.173,0.6306,18.22,0.9974,1105,1086
1/13/2020,0.098,0.147,88.271,75.589,1.103,2.591,6.62,10.626,1.771,2.537,5.972,0.699,0.331,1.027,0.108,0.441,1.368,0.139,0.158,0.609,0.058,0.11,0.424,0.04,0.331,1.647,0.144,2.959,1.188,0.242,0.6484,18.73,0.9972,1129,1109
1/27/2020,0.135,0.199,87.38,73.83,1.228,2.846,6.98,11.054,1.867,2.666,6.191,0.735,0.41,1.255,0.134,0.513,1.57,0.162,0.16,0.608,0.059,0.13,0.494,0.047,0.398,1.953,0.174,3.178,1.311,0.28,0.6572,18.99,0.9972,1138,1119
2/7/2020,0.101,0.15,87.895,74.906,1.103,2.579,6.823,10.899,1.825,2.581,6.046,0.711,0.405,1.25,0.133,0.506,1.562,0.16,0.151,0.579,0.055,0.111,0.425,0.04,0.324,1.604,0.141,3.065,1.24,0.236,0.6515,18.82,0.9972,1133,1114
2/24/2020,0.089,0.131,87.384,73.861,1.003,2.326,7.142,11.315,1.911,2.678,6.222,0.738,0.456,1.396,0.149,0.57,1.746,0.18,0.157,0.597,0.057,0.138,0.525,0.05,0.383,1.881,0.167,3.252,1.341,0.274,0.6569,18.98,0.9971,1145,1125
3/11/2020,0.099,0.147,87.499,74.261,1.108,2.58,6.983,11.108,1.868,2.793,6.516,0.77,0.443,1.362,0.145,0.554,1.704,0.175,0.111,0.424,0.041,0.111,0.424,0.04,0.299,1.474,0.13,3.169,1.301,0.211,0.6542,18.9,0.9972,1138,1118
3/24/2020,0.12,0.179,87.783,74.825,1.217,2.846,6.763,10.805,1.809,2.763,6.473,0.761,0.368,1.136,0.12,0.477,1.473,0.15,0.12,0.46,0.044,0.11,0.422,0.04,0.279,1.381,0.122,3.046,1.237,0.206,0.6514,18.82,0.9972,1130,1111
4/9/2020,0.1,0.149,87.735,74.803,1.097,2.566,6.979,11.153,1.867,2.692,6.309,0.742,0.399,1.232,0.131,0.499,1.541,0.157,0.1,0.383,0.037,0.1,0.383,0.036,0.299,1.481,0.13,3.1,1.233,0.203,0.6512,18.82,0.9972,1133,1114
5/12/2020,0.13,0.191,87.175,73.257,1.002,2.31,7.014,11.048,1.876,2.806,6.482,0.773,0.501,1.525,0.164,0.601,1.83,0.19,0.17,0.643,0.062,0.2,0.756,0.073,0.401,1.958,0.175,3.313,1.437,0.31,0.6608,19.09,0.9971,1150,1130
5/27/2020,0.12,0.18,88.241,75.617,1.203,2.828,6.618,10.63,1.77,2.507,5.905,0.691,0.361,1.121,0.118,0.421,1.307,0.133,0.099,0.382,0.036,0.099,0.382,0.036,0.331,1.648,0.144,2.928,1.158,0.216,0.6479,18.72,0.9972,1125,1106
6/7/2020,0.202,0.295,86.704,72.411,0.995,2.28,7.259,11.363,1.942,3.025,6.944,0.834,0.403,1.219,0.132,0.504,1.525,0.159,0.202,0.759,0.074,0.202,0.759,0.073,0.504,2.445,0.22,3.434,1.492,0.367,0.6649,19.21,0.9971,1155,1135
6/26/2020,0.1,0.147,87.579,73.904,0.995,2.303,6.768,10.704,1.811,2.687,6.232,0.74,0.498,1.522,0.163,0.597,1.825,0.188,0.199,0.755,0.073,0.199,0.755,0.072,0.378,1.853,0.165,3.212,1.401,0.31,0.6581,19.01,0.9971,1146,1127
